bitcoin;1321.87;1347.91;1314.92;1347.89;413115000;21548400000
ethereum;68.54;79.02;68.35;79.02;229945000;6248840000
ripple;0.052807;0.054646;0.049574;0.051607;41974200;2000600000
litecoin;15.70;16.07;15.47;15.71;43929100;798743000
dash;94.21;97.13;88.80;91.55;19963300;684050000
ethereum-classic;5.44;6.61;5.33;6.52;82888200;496272000
nem;0.047996;0.051408;0.047989;0.050966;4804860;431966000
monero;22.74;24.20;22.72;23.72;10910000;326962000
augur;16.93;17.13;16.02;16.78;4509700;186280000
golem-network-tokens;0.170580;0.247030;0.165160;0.219924;19947000;139876000
maidsafecoin;0.260115;0.271080;0.250168;0.253601;1387470;117716000
zcash;96.18;99.07;89.93;93.20;11989300;114946000
pivx;1.71;1.95;1.60;1.69;2065690;91012000
dogecoin;0.000736;0.000771;0.000727;0.000746;3614180;80307300
decred;15.66;16.64;14.95;15.85;1326060;74906700
stratis;0.732707;0.765318;0.706671;0.732536;1610270;72073000
factom;8.03;8.32;7.77;8.08;2639500;70330500
steem;0.291556;0.295666;0.272611;0.277944;915711;68607100
tether;0.937189;0.937196;0.935584;0.936854;23739900;59055700
waves;0.584291;0.619520;0.577786;0.593739;265313;58429100
digixdao;28.65;30.21;28.05;28.49;379114;57309600
gamecredits;0.908237;0.921953;0.856589;0.890612;859338;56435300
lisk;0.527853;0.597527;0.522422;0.588466;2435590;56129800
bitconnect;8.95;9.02;8.74;8.88;391218;55090300
singulardtv;0.087139;0.116695;0.086263;0.111222;357012;52283600
ardor;0.050328;0.052379;0.049605;0.051582;556249;50277600
stellar;0.004975;0.005379;0.004785;0.004840;4071450;46349100
iconomi;0.531875;0.553630;0.502559;0.522171;429813;46273100
rlc;0.529962;0.662203;0.505016;0.638347;615634;41374600
bitshares;0.015487;0.017284;0.015350;0.016456;3028980;40237700
byteball;220.61;225.19;199.49;215.23;115098;35358800
bytecoin-bcn;0.000185;0.000215;0.000184;0.000202;100019;33809500
nxt;0.030181;0.032125;0.029889;0.032030;1515830;30151100
peercoin;1.24;1.27;1.21;1.24;734356;29833000
firstblood;0.344119;0.389193;0.344119;0.386818;1111780;29442300
syscoin;0.052910;0.062058;0.051529;0.057387;1487330;27746700
emercoin;0.630821;0.685772;0.623412;0.681042;638843;25209000
siacoin;0.000962;0.001294;0.000955;0.001248;4064720;24511100
melon;35.94;38.55;35.43;38.05;205173;21540700
komodo;0.191686;0.198334;0.175862;0.191746;100295;19340200
ark;0.199447;0.205320;0.178908;0.191533;245268;18865800
lykke;0.134712;0.136252;0.134357;0.134967;40604;18055200
namecoin;1.18;1.22;1.16;1.18;808107;17391800
nexus;0.331766;0.347129;0.323054;0.338296;60314;16245300
zcoin;8.01;8.04;7.26;7.53;1518460;15979600
trust;0.172142;0.203611;0.171232;0.202172;517911;15862500
xaurum;0.145124;0.154405;0.144394;0.154405;57419;15092800
neo;0.271731;0.362409;0.268994;0.360099;1631520;13586500
gulden;0.039004;0.040396;0.035350;0.036273;63540;13441500
nav-coin;0.208670;0.270324;0.200011;0.258934;1046840;12719600
bitcrystals;0.304528;0.325266;0.300927;0.319687;88303;12583000
creditbit;0.987763;1.25;0.871556;1.16;360650;12455300
counterparty;4.46;4.64;4.33;4.63;106679;11673500
bitcoindark;8.86;9.09;8.38;8.89;54492;11416900
crown;0.845157;1.05;0.844713;0.997239;94478;11363700
agoras-tokens;0.255293;0.359323;0.255281;0.350451;25752;10722300
blackcoin;0.132850;0.161463;0.132850;0.153976;543845;10110400
synereo;0.118689;0.124118;0.110998;0.115391;368596;9762920
ubiq;0.257607;0.259621;0.226844;0.253944;65415;9488440
potcoin;0.043054;0.044340;0.042145;0.043831;196962;9326740
rubycoin;0.373015;0.390732;0.360826;0.390716;32054;9054710
bitbay;0.008868;0.010857;0.008858;0.010080;170673;8934460
digibyte;0.001086;0.001133;0.001063;0.001092;521858;8801640
swarm-city;1.43;1.59;1.21;1.22;48396;8647580
wings;0.107828;0.114247;0.103702;0.112277;301861;8513920
edgeless;0.112867;0.119043;0.109319;0.115152;154689;8451060
nexium;0.118072;0.119661;0.113469;0.117647;76464;7854340
chronobank;10.73;10.82;10.34;10.79;430189;7622640
expanse;1.08;1.13;0.995532;1.04;273540;7542740
blocknet;1.91;2.18;1.81;1.94;74029;7463140
novacoin;3.96;4.04;3.93;4.00;69358;6755850
vslice;0.201400;0.211294;0.187181;0.203831;51704;6724850
iocoin;0.402748;0.441392;0.399209;0.422040;16876;6576350
ion;0.466567;0.466764;0.434689;0.464939;4941;6035090
monacoin;0.121978;0.130138;0.110553;0.124980;24539;5977960
zclassic;4.74;5.29;4.74;5.02;95597;5885850
skycoin;1.07;1.13;0.927739;0.964712;11160;5798150
gridcoin;0.014704;0.014740;0.013402;0.013533;46168;5729230
bankcoin;1.33;1.34;0.503207;1.30;9434;5672560
monetaryunit;0.047502;0.052826;0.041772;0.051362;80132;5641890
posw-coin;0.131051;0.133964;0.110181;0.124883;127308;5373090
library-credit;0.081476;0.087460;0.081476;0.083695;202628;5241650
radium;1.61;1.61;1.48;1.50;75723;5172490
primecoin;0.264886;0.306244;0.252931;0.290154;820810;5011560
e-dinar-coin;0.060460;0.062315;0.052478;0.055301;171837;5003220
burst;0.002806;0.002836;0.002587;0.002676;155934;4934160
belacoin;0.136700;0.137431;0.125230;0.130462;317266;4632830
bitcoin-plus;46.68;55.39;45.24;50.64;467237;4468640
waves-community-token;1.09;1.15;0.403919;0.673890;3745;4363680
viacoin;0.191824;0.200522;0.179172;0.185979;67049;4329680
clams;1.93;2.14;1.93;2.10;370112;4328470
supernet-unity;5.19;5.19;4.17;4.26;6372;4234420
solarcoin;0.112923;0.120701;0.108669;0.116069;7201;3951600
global-currency-reserve;0.037898;0.040770;0.034367;0.038820;9052;3884230
sibcoin;0.267853;0.272110;0.258104;0.268184;17166;3829090
vertcoin;0.113002;0.136613;0.112766;0.132189;445568;3774900
omni;6.72;6.94;6.23;6.71;31338;3752910
arcade-token;1.04;1.53;0.987170;1.11;824;3635510
incent;0.156910;0.172789;0.152323;0.164192;54686;3610230
lomocoin;0.017247;0.018546;0.016354;0.016663;3575;3559750
pepe-cash;0.004981;0.005076;0.004054;0.004407;1838;3496320
darcrus;0.250607;0.256618;0.229360;0.249377;20956;3415440
veros;0.041503;0.042149;0.036304;0.039391;26818;3170960
pascal-coin;0.354488;0.376232;0.347859;0.367563;141156;3140870
golos;0.025293;0.026736;0.023763;0.026735;3748;3081110
shadowcash;0.462767;0.619201;0.457076;0.577001;67341;3079910
aeon;0.219272;0.250770;0.214093;0.215797;12348;3076150
megacoin;0.090244;0.124043;0.086351;0.113890;731851;2967810
neoscoin;0.894196;0.966860;0.874882;0.939470;38997;2951750
faircoin;0.052872;0.058328;0.049271;0.056599;2232;2805300
dubaicoin-dbix;3.29;3.29;3.04;3.07;21250;2780690
heat-ledger;0.106381;0.115113;0.097765;0.112659;8265;2722930
arcticcoin;0.117486;0.117555;0.085372;0.092878;9169;2711510
feathercoin;0.016859;0.020287;0.016763;0.019857;79094;2699520
reddcoin;0.000093;0.000095;0.000080;0.000095;8645;2641420
bitsend;0.174485;0.185864;0.168915;0.172167;31480;2594640
vericoin;0.084647;0.091819;0.084640;0.091819;27609;2552360
cloakcoin;0.498672;0.519921;0.471942;0.491261;6039;2486820
jinn;42.25;42.80;41.84;42.72;299;2480420
energycoin;0.020223;0.020924;0.018511;0.020340;1389;2444030
goldcoin;0.059790;0.064860;0.054115;0.057981;6763;2402030
earthcoin;0.000253;0.000285;0.000244;0.000272;671818;2368520
shift;0.218865;0.326699;0.218704;0.292534;62061;2347160
florincoin;0.018434;0.020080;0.018168;0.019406;52889;2289520
gambit;1.68;1.82;1.65;1.75;6659;2157450
