bitcoin;3370.22;3484.85;3345.83;3419.94;1752760000;55590300000
ethereum;269.10;298.91;266.80;296.77;1502410000;25254600000
ripple;0.179602;0.194391;0.178487;0.192586;180028000;6886620000
bitcoin-cash;321.35;386.29;309.61;345.49;274880000;5297390000
nem;0.281566;0.304006;0.255855;0.275143;21374100;2534090000
litecoin;45.90;49.37;45.79;48.63;205565000;2403230000
dash;196.58;205.50;194.97;203.84;35117200;1470120000
ethereum-classic;15.30;15.95;15.23;15.88;88294200;1442970000
iota;0.473874;0.550880;0.458992;0.547637;21988500;1317150000
neo;18.73;19.34;15.59;18.27;124589000;936705000
stratis;7.63;8.34;7.45;7.87;21843100;751997000
monero;50.40;52.64;49.93;51.94;12471600;750929000
qtum;12.64;12.74;10.84;11.50;63155600;746010000
waves;5.64;5.83;5.04;5.41;6867910;564066000
bitconnect;83.13;87.32;83.03;86.51;8050680;530677000
eos;1.81;2.04;1.79;1.88;76270800;487777000
bitshares;0.154898;0.165316;0.153435;0.159335;63444900;402369000
zcash;209.18;255.97;208.04;245.48;39426100;400002000
tether;0.994220;1.01;0.989566;1.00;130482000;317655000
veritaseum;156.00;160.68;124.98;141.81;1574720;313014000
steem;1.31;1.45;1.29;1.36;1641340;312048000
omisego;3.15;3.76;3.07;3.61;49778700;309766000
bytecoin-bcn;0.001448;0.001516;0.001419;0.001441;1652560;265225000
siacoin;0.009327;0.009986;0.009100;0.009448;8507530;264789000
golem-network-tokens;0.307754;0.323799;0.298561;0.302366;6031560;256369000
iconomi;2.86;3.14;2.66;3.07;1939350;248438000
status;0.070957;0.079600;0.069076;0.072467;35787700;246253000
stellar;0.022300;0.023737;0.021703;0.023737;8748670;244457000
lisk;2.13;2.38;2.05;2.36;5271700;235963000
gnosis-gno;203.91;216.67;202.11;208.16;1286660;225238000
populous;6.07;7.41;5.38;5.42;2002390;224461000
dogecoin;0.001950;0.001987;0.001929;0.001961;4784700;215522000
tenx;2.06;2.25;1.98;2.21;11213800;215386000
augur;18.86;21.42;18.73;21.19;3633500;207435000
gamecredits;3.22;3.23;3.07;3.14;3565400;205171000
factom;21.04;21.26;19.93;20.77;2529660;184199000
basic-attention-token;0.171663;0.184845;0.161222;0.170829;3251710;171663000
decred;30.67;32.43;29.31;31.68;978874;168415000
maidsafecoin;0.358123;0.373870;0.350085;0.356663;1788310;162069000
digibyte;0.018419;0.019250;0.017616;0.019205;6724040;161028000
nxt;0.152590;0.152590;0.137660;0.142463;12914900;152437000
digixdao;74.86;92.06;74.32;89.47;1157260;149715000
ardor;0.146942;0.148559;0.135923;0.138856;1771750;146795000
byteball;367.03;464.19;335.87;439.14;11696000;134298000
mcap;2.21;2.23;1.43;1.78;519836;133830000
pivx;1.99;2.06;1.89;2.01;857147;107615000
komodo;1.05;1.11;0.980511;1.05;247999;106265000
bancor;2.46;2.60;2.44;2.56;2240360;100239000
metal;5.09;5.18;4.72;4.94;626820;98197400
mobilego;0.949441;1.01;0.807424;0.926143;683447;91073900
ark;0.914686;0.960463;0.778556;0.825174;724982;88491100
lykke;0.337525;0.360784;0.336417;0.350306;748370;88129600
metaverse;3.77;4.35;3.37;3.78;1260830;85303800
singulardtv;0.141454;0.149957;0.138722;0.146283;474453;84872300
firstblood;0.911506;1.06;0.903833;0.982298;16274300;77987000
aragon;2.08;2.25;2.01;2.15;587613;69909000
syscoin;0.131981;0.135931;0.123409;0.131569;1047620;69509600
civic;0.197579;0.216192;0.193354;0.204725;1775290;67176700
funfair;0.017112;0.020009;0.016574;0.019663;953548;65700100
bitcoindark;47.02;48.85;42.88;46.25;201933;60604900
nexus;1.17;1.28;1.12;1.19;285729;60453400
wings;0.672512;0.746430;0.572219;0.614742;1588850;60329900
blocknet;14.10;15.54;13.81;14.86;371982;55868000
bitdeal;0.182525;0.213133;0.179159;0.202709;40150;54757600
decent;1.07;1.10;1.03;1.06;931750;54699700
elastic;0.646131;0.701852;0.621628;0.673106;1363370;54139600
particl;6.80;7.24;5.51;6.72;139162;52083900
ubiq;1.32;1.52;1.30;1.45;498575;49686400
etheroll;6.57;7.98;6.11;6.66;444686;45985200
peercoin;1.88;1.94;1.82;1.90;648054;45707700
edgeless;0.556208;0.579326;0.511473;0.519634;528111;45634800
leocoin;0.518543;0.533311;0.509547;0.517347;272132;45443500
verge;0.003358;0.003554;0.003162;0.003352;1278610;45030100
asch;0.586442;0.618751;0.557732;0.579781;3127900;43983100
emercoin;1.04;1.12;1.01;1.04;652832;41960900
rlc;0.512456;0.555911;0.504098;0.533064;330659;40520300
peerplays-ppy;10.04;12.78;9.81;12.06;1376100;37394700
melon;61.07;69.02;59.80;68.66;461615;36602700
library-credit;0.521196;0.521196;0.483049;0.505024;1885690;35714700
vslice;1.05;1.08;0.985456;1.06;177803;35158700
numeraire;27.86;28.34;25.22;27.97;521900;34067900
reddcoin;0.001121;0.001210;0.001025;0.001095;545237;32039700
nolimitcoin;0.156936;0.302051;0.155655;0.233238;616940;31884800
viacoin;1.37;1.49;1.36;1.39;715756;31259400
stox;1.04;1.69;1.03;1.13;686479;30654200
namecoin;2.06;2.11;1.94;2.05;121597;30368800
mysterium;1.55;1.57;1.34;1.53;614269;30027600
pillar;0.051917;0.058117;0.049075;0.056982;68132;29073600
cloakcoin;5.60;6.50;5.38;5.56;580831;28400100
counterparty;10.54;10.82;10.10;10.20;245888;27594000
gulden;0.077095;0.079496;0.069638;0.075696;135600;27018200
xaurum;0.206031;0.210673;0.173454;0.182105;176765;26188700
ion;1.67;1.86;1.59;1.81;73218;25686500
storj;0.357387;0.414547;0.351998;0.401730;356667;25175600
bitbay;0.024548;0.025071;0.023047;0.023571;95787;24736200
humaniq;0.151011;0.158481;0.147304;0.149786;428209;24593400
synereo;0.297235;0.333905;0.294923;0.302237;1234630;24449500
tokencard;1.01;1.02;0.932839;0.962376;216722;23920200
zcoin;8.80;10.52;8.56;9.69;1970660;23912100
skycoin;4.09;4.58;3.73;4.33;23501;23815400
potcoin;0.108196;0.114047;0.104428;0.112481;235428;23538500
faircoin;0.441703;0.475068;0.407355;0.444737;19319;23495900
gas;7.92;10.54;7.79;10.54;2261940;23194300
monacoin;0.427921;0.430823;0.396182;0.414369;95149;22710400
adtoken;0.037496;0.040645;0.036725;0.039494;64172;22497800
trust;0.239324;0.308934;0.225958;0.276975;944973;22053100
rialto;0.283377;0.322694;0.282065;0.315128;33542;21537100
blackcoin;0.273356;0.275852;0.248882;0.262873;784749;20856400
databits;0.906684;0.976499;0.803037;0.920538;369175;20625100
vertcoin;0.536174;0.569836;0.515745;0.543291;1037030;20566800
iocoin;1.24;1.55;1.24;1.53;101819;20285000
digitalnote;0.002878;0.002952;0.002784;0.002864;1039570;19814500
ecobit;0.043957;0.044011;0.042242;0.043107;8286;19536300
patientory;0.261064;0.268692;0.227958;0.262313;724702;18274500
omni;32.19;32.89;30.83;31.84;226228;18006900
taas;2.12;2.49;2.11;2.44;287852;17282300
quantum-resistant-ledger;0.330790;0.332573;0.308785;0.328702;326872;17201100
nav-coin;0.277236;0.293885;0.267619;0.282881;189848;17076000
sibcoin;1.12;1.17;1.06;1.10;54330;16990300
earthcoin;0.001503;0.001503;0.001361;0.001438;1354670;16922100
quantum;0.204046;0.207332;0.200386;0.202761;22202;16635700
chronobank;23.33;23.33;21.62;22.76;812877;16565300
polybius;4.36;4.54;4.26;4.26;64562;16448200
golos;0.131342;0.143123;0.125712;0.137776;18114;16354600
monetaryunit;0.127470;0.138277;0.118814;0.123707;71311;16078800
burst;0.008791;0.008791;0.008093;0.008377;316628;15880200
expanse;2.03;2.39;1.93;2.32;405138;15796300
e-dinar-coin;0.017779;0.017779;0.012379;0.015044;309766;15756100
sonm;0.046940;0.052644;0.044366;0.052198;226418;15554200
district0x;0.025753;0.026181;0.019153;0.026181;972596;15452100
agoras-tokens;0.367119;0.469943;0.336085;0.376487;138146;15419000
soarcoin;0.023438;0.025069;0.022444;0.024529;9208;15280700
santiment;0.259807;0.289899;0.256412;0.279865;473644;15256400
waves-community-token;1.91;2.20;1.69;1.90;7659;15252800
supernet-unity;18.53;19.17;17.80;18.64;6613;15123000
monaco;1.54;1.60;1.45;1.51;301153;15065400
binance-coin;0.148998;0.226925;0.147766;0.224421;2617340;14899800
voxels;0.069078;0.072971;0.065535;0.067593;220980;14506400
ethos;0.177745;0.192106;0.151969;0.183122;266988;14290000
einsteinium;0.067086;0.079090;0.062788;0.066533;1278420;14241500
gridcoin;0.036108;0.037766;0.034633;0.035901;99776;14093200
unity-ingot;0.068047;0.071581;0.065158;0.070889;58430;13745400
obits;0.864400;0.999190;0.829513;0.975413;14950;13735700
crown;0.921268;0.975124;0.842744;0.956097;24823;13567400
radium;4.08;4.74;4.04;4.44;330248;13522800
neoscoin;3.88;4.11;3.63;4.11;231819;13329700
cofound-it;0.103266;0.129583;0.100252;0.126769;402146;12908200
nexium;0.185546;0.207666;0.177346;0.202966;95550;12342800
bankcoin;1.05;1.08;0.841792;0.945181;233;11991100
unobtanium;60.56;71.31;59.52;62.84;81548;11977400
salus;11.48;17.83;10.07;11.08;166096;11528300
pluton;13.55;14.27;13.01;14.03;145018;11520400
shift;1.04;1.06;0.917610;0.939873;143595;11492500
lomocoin;0.052970;0.052999;0.047296;0.050134;412479;11261300
rubycoin;0.455772;0.459020;0.412339;0.452204;8785;11225400
mooncoin;0.000050;0.000073;0.000041;0.000050;6855;11105200
bitcny;0.140700;0.155775;0.137125;0.143736;512319;10561600
luckchain;0.014896;0.016138;0.014601;0.015209;269332;10455400
guppy;0.137056;0.149678;0.131303;0.148254;237908;10279200
dubaicoin-dbix;10.13;10.19;8.53;8.72;49483;10249600
bcap;1.02;1.08;0.980618;1.01;220750;10169600
spreadcoin;1.18;1.38;1.16;1.32;51193;10097400
oax;0.399999;0.444824;0.387876;0.432148;130197;10003700
energycoin;0.082487;0.094509;0.077820;0.081113;20005;9990780
lunyr;4.33;4.97;4.05;4.19;337510;9944830
e-coin;2.82;3.59;2.80;3.28;281750;9926920
bitcoin-plus;98.71;112.47;97.70;100.94;194482;9794420
toacoin;0.005812;0.005887;0.005436;0.005637;57430;9767400
swarm-city;1.28;1.34;1.22;1.25;40057;9730660
encryptotel;0.151743;0.159681;0.139172;0.139266;7970;9427990
feathercoin;0.054713;0.055329;0.051687;0.052792;1002520;9364520
jinn;158.65;175.29;145.59;170.46;682;9313360
pepe-cash;0.013234;0.014318;0.012319;0.012447;19881;9288790
bitcrystals;0.397621;0.398656;0.373381;0.392155;83469;9244060
heat-ledger;0.327693;0.341324;0.281368;0.340280;9375;9137900
worldcoin;0.077959;0.078841;0.071027;0.074576;469988;8964400
signatum;0.122397;0.153368;0.089680;0.099221;1615360;8809690
groestlcoin;0.128906;0.130113;0.117633;0.118823;214477;8780590
dnotes;0.067146;0.067289;0.061830;0.065703;62312;8454610
vericoin;0.278211;0.286921;0.268130;0.279231;193871;8437870
pura;0.037309;0.043378;0.027224;0.033595;14584;8390690
quark;0.033359;0.033645;0.030006;0.030895;189355;8389980
mothership;0.059658;0.062397;0.054771;0.056171;80819;8352170
clams;3.25;4.16;3.14;3.60;973347;8298140
xtrabytes;0.012729;0.012729;0.011341;0.011348;26987;8273500
foldingcoin;0.015854;0.016502;0.015516;0.015947;110264;8159530
rise;0.074618;0.078494;0.062981;0.070371;54064;8012960
primecoin;0.397447;0.399647;0.372066;0.384285;440226;8012750
incent;0.171314;0.172255;0.152734;0.162515;185288;7883240
diamond;3.51;3.73;3.46;3.59;17147;7791210
florincoin;0.057246;0.061016;0.055480;0.058058;91704;7776740
belacoin;0.206149;0.221038;0.203847;0.215563;103727;7599820
gambit;6.19;6.41;5.46;6.09;32877;7364460
raiblocks;0.068746;0.069050;0.055509;0.056300;17448;7013000
nimiq;0.666331;0.690111;0.612252;0.669438;222160;6996470
megacoin;0.209673;0.209954;0.186487;0.195444;753678;6895400
novacoin;3.76;4.22;3.41;3.64;11405;6756560
cryptonite;0.018399;0.018487;0.016540;0.017372;1274960;6384830
chaincoin;0.409563;0.442501;0.345567;0.345928;102951;6231920
bean-cash;0.003019;0.003164;0.002794;0.002879;148495;6222810
myriad;0.004141;0.004141;0.002753;0.003080;802781;6222090
artbyte;0.007870;0.009190;0.006618;0.007424;556197;6220930
solarcoin;0.173033;0.185706;0.172841;0.180071;21565;6133150
pascal-coin;0.502585;0.530284;0.484111;0.520034;73037;6125600
