bitcoin;17802.90;18353.40;14336.90;16569.40;21136000000;297787000000
ethereum;434.99;466.06;422.37;456.03;2336380000;41845800000
bitcoin-cash;1329.16;1731.32;1247.93;1464.13;2553980000;22386700000
iota;4.14;5.01;3.63;5.01;928042000;11512800000
ripple;0.223636;0.278673;0.222168;0.252125;660172000;8663460000
dash;700.68;766.04;659.86;726.67;288291000;5423040000
litecoin;98.33;133.07;95.40;124.85;1515560000;5327910000
monero;281.31;284.86;250.65;276.74;201497000;4346000000
bitcoin-gold;253.71;278.26;248.08;261.16;178502000;4235360000
cardano;0.106142;0.120726;0.099136;0.115465;70092400;2751950000
ethereum-classic;26.89;30.05;25.45;30.05;581400000;2639940000
stellar;0.137887;0.145762;0.120002;0.137260;188452000;2459440000
neo;34.84;37.38;32.36;36.27;125450000;2264560000
nem;0.235038;0.656789;0.219179;0.639449;267451000;2115340000
eos;3.99;4.59;3.74;4.29;149508000;2093350000
bitconnect;447.95;453.42;356.84;409.73;24872700;1427030000
qtum;12.53;13.06;11.99;12.79;153972000;923477000
waves;8.71;8.73;7.43;8.40;45781100;871406000
stratis;8.80;10.00;7.57;9.02;67156200;867847000
monacoin;15.39;17.93;14.18;14.78;32057700;859513000
zcash;308.04;339.99;295.02;328.07;127793000;858140000
lisk;7.39;8.63;7.00;8.06;40878700;855170000
tether;1.04;1.06;0.986563;1.02;1993030000;843587000
omisego;7.88;8.73;7.58;8.45;54457900;804182000
populous;17.90;27.59;16.98;26.60;6732410;738437000
nxt;0.698858;0.736619;0.566458;0.658027;201496000;698159000
hshare;14.62;15.21;13.08;14.74;56016000;619075000
ardor;0.541964;0.589217;0.482469;0.566157;8734970;541422000
steem;2.14;2.16;1.61;1.94;11425200;526228000
bytecoin-bcn;0.002761;0.002783;0.002315;0.002736;9567940;505997000
bitshares;0.174132;0.185922;0.153450;0.184835;25006300;453444000
einsteinium;2.08;2.53;1.69;2.29;156202000;449991000
ark;3.65;4.31;3.28;3.96;11599200;357834000
salt;7.04;8.04;6.56;7.75;20075900;356246000
komodo;3.38;3.39;2.81;3.38;10793200;350369000
veritaseum;159.33;180.61;139.21;174.26;1120830;322812000
decred;50.12;57.47;46.47;56.87;5471720;316353000
dogecoin;0.002730;0.002846;0.002326;0.002779;11797600;306426000
augur;27.76;30.52;25.33;29.97;6533500;305387000
vertcoin;7.09;9.00;6.63;8.06;38632900;296937000
tron;0.004311;0.004731;0.003682;0.004394;21605600;283434000
binance-coin;2.77;2.87;2.26;2.83;38648500;273882000
qash;0.776695;0.814001;0.696021;0.781980;12751700;271843000
siacoin;0.008224;0.008706;0.007471;0.008388;10571100;258208000
golem-network-tokens;0.293752;0.324863;0.267113;0.323927;5497280;244705000
pivx;4.22;4.89;3.95;4.89;3113520;232573000
cryptonex;5.14;5.19;3.80;4.36;324471;231338000
bitcoindark;176.73;176.73;121.69;140.53;316186;227782000
maidsafecoin;0.502084;0.534793;0.431890;0.515060;5702220;227219000
tenx;1.96;2.44;1.87;2.35;8592790;204718000
status;0.055793;0.065482;0.049758;0.063043;22371700;193628000
digixdao;95.60;106.62;85.30;105.98;2488560;191209000
walton;7.59;9.54;6.93;8.61;24314400;189056000
syscoin;0.340514;0.378574;0.304113;0.362909;7108730;180265000
power-ledger;0.506800;0.599139;0.461959;0.556774;62051200;177933000
exchange-union;7.08;7.48;6.12;6.50;846270;175649000
basic-attention-token;0.174933;0.189441;0.169128;0.186056;5905930;174933000
kyber-network;1.30;1.38;1.17;1.34;15028900;174622000
santiment;2.82;3.10;2.55;2.98;10293500;170923000
factom;19.34;22.37;18.11;20.37;11227700;169133000
bytom;0.165261;0.174431;0.135802;0.174328;2722610;163113000
byteball;233.44;276.65;210.03;266.22;720649;150623000
gas;17.35;21.09;15.91;19.06;2956780;149136000
pura;0.863943;0.863943;0.620245;0.767544;524856;148583000
zcoin;40.53;45.69;38.70;41.46;7994100;146074000
aeternity;0.613507;0.641847;0.576212;0.638163;1308730;142960000
iconomi;1.41;1.49;1.32;1.46;1733490;140832000
decentraland;0.061238;0.061765;0.043557;0.050740;30266500;139241000
digibyte;0.014284;0.015048;0.012678;0.014212;9999170;135940000
0x;0.263661;0.274864;0.218665;0.267595;4576860;131830000
vechain;0.461760;0.654249;0.458676;0.565619;13042900;127983000
funfair;0.029646;0.032661;0.025933;0.031608;3271200;125990000
gnosis-gno;112.82;119.33;94.16;119.33;1266520;124621000
verge;0.008677;0.009150;0.007607;0.008793;5311020;124572000
raiden-network-token;2.43;3.18;2.38;2.99;11110800;121793000
gamecredits;1.81;2.11;1.75;1.89;3340480;116543000
blocknet;22.76;23.78;18.66;22.97;235586;111902000
monaco;10.27;12.55;9.36;11.85;36558700;110144000
nav-coin;1.75;1.86;1.37;1.69;7018760;108527000
gxshares;2.58;2.60;2.23;2.54;6865070;104583000
rchain;0.559875;0.596047;0.464156;0.540061;360288;102436000
bancor;2.50;2.74;2.42;2.66;4422620;102066000
civic;0.296480;0.325793;0.262284;0.292517;4057130;101604000
metal;5.22;5.44;4.49;5.44;8719540;100691000
nexus;1.79;1.92;1.59;1.86;978571;97347700
storj;0.920692;1.00;0.877154;0.957380;11246200;97053500
ethos;1.27;1.51;1.20;1.46;2111270;95720800
streamr-datacoin;0.137766;0.151141;0.127310;0.148734;4424930;93289000
achain;0.306354;0.306354;0.253505;0.292556;735718;91906200
edgeless;1.11;1.30;1.01;1.19;5504340;91464600
chainlink;0.260004;0.273486;0.211824;0.245226;4528570;91001400
skycoin;15.08;19.44;12.70;19.44;227730;90499400
aion;2.20;2.47;1.99;2.32;460544;90208400
particl;11.28;12.76;7.31;10.59;2026020;87958200
dragonchain;0.355850;0.459336;0.355850;0.442737;1560460;84842500
raiblocks;0.633880;0.677536;0.538261;0.661267;1262850;84463400
revain;0.453912;0.465357;0.379610;0.429685;495557;83724100
