bitcoin;1011.46;1033.87;1008.79;1029.91;201278000;16326100000
ethereum;10.81;11.11;10.76;11.11;12897800;956944000
ripple;0.006466;0.006510;0.006401;0.006474;548263;238302000
litecoin;4.08;4.11;4.04;4.08;8548470;202531000
monero;13.13;13.15;12.15;12.86;5732620;182089000
ethereum-classic;1.36;1.38;1.35;1.36;985487;120305000
dash;16.31;17.61;16.31;17.52;1818910;115306000
maidsafecoin;0.151497;0.160367;0.146761;0.154659;839851;68560300
nem;0.006294;0.007194;0.006294;0.006938;570173;56648900
augur;4.09;4.31;4.00;4.10;276453;44990700
steem;0.165965;0.166915;0.159347;0.163293;97954;38479100
iconomi;0.430609;0.454878;0.430609;0.441922;422178;37463000
factom;3.39;3.61;3.34;3.58;383471;29716200
digixdao;12.78;12.86;9.45;9.77;12997;25564400
tether;0.999994;0.999998;0.999994;0.999998;2994180;24951400
dogecoin;0.000211;0.000214;0.000207;0.000213;112018;22790800
zcash;39.25;39.31;38.01;39.02;843232;22712100
waves;0.211934;0.238302;0.208672;0.229165;115689;21193400
ardor;0.019274;0.020084;0.018577;0.019490;105343;19254900
golem-network-tokens;0.022789;0.026367;0.022216;0.024133;31612;18686700
stellar;0.002426;0.002464;0.002367;0.002399;63775;16791800
lisk;0.158457;0.161202;0.153085;0.160143;107780;16265500
gamecredits;0.250156;0.288484;0.248476;0.283500;347513;15111300
bitshares;0.004094;0.004123;0.003924;0.003930;72570;10566600
bitcoindark;7.77;8.03;6.32;7.04;16636;10008300
byteball;98.78;98.78;65.64;74.26;54642;9877920
shadowcash;1.48;1.53;1.44;1.51;43551;9798220
decred;2.59;2.71;2.52;2.61;133515;9659720
stratis;0.095478;0.096592;0.087990;0.095879;160805;9381150
bytecoin-bcn;0.000051;0.000058;0.000050;0.000054;12571;9285040
gulden;0.026873;0.027586;0.025596;0.026066;16662;9126300
golos;0.095222;0.099657;0.080083;0.087644;5271;9119620
siacoin;0.000385;0.000393;0.000365;0.000389;101149;8834990
e-dinar-coin;0.607991;0.623080;0.587238;0.589120;837348;8281830
bitcrystals;0.196570;0.200514;0.172495;0.194640;13800;8135350
singulardtv;0.013281;0.014364;0.012706;0.012750;2378;7968300
xaurum;0.087863;0.103025;0.082800;0.099832;22150;7836660
emercoin;0.186714;0.193833;0.185633;0.191755;31920;7363770
neo;0.145650;0.145650;0.132985;0.134264;9702;7282500
peercoin;0.302673;0.312158;0.296069;0.297399;34467;7218920
firstblood;0.084336;0.088834;0.079580;0.086091;28650;7215670
counterparty;2.67;2.72;2.47;2.56;114033;6999050
nxt;0.006334;0.006854;0.006314;0.006854;53962;6327930
iocoin;0.387680;0.405013;0.367192;0.373388;8438;6323100
nexus;0.120683;0.145540;0.117149;0.121635;18151;5615600
rubycoin;0.230127;0.235175;0.228602;0.232070;6032;5516010
syscoin;0.010323;0.010906;0.010004;0.010533;32724;5393580
agoras-tokens;0.120030;0.122689;0.102349;0.110942;7;5041260
lomocoin;0.022050;0.023062;0.020420;0.023060;3350;4634960
