bitcoin;909.37;917.50;858.30;886.62;225677000;14648900000
ethereum;10.30;10.52;9.94;10.23;10788200;906079000
ripple;0.006790;0.007125;0.006659;0.006709;1342730;249667000
litecoin;3.94;3.95;3.78;3.84;4321020;194678000
monero;12.43;12.70;11.57;12.05;4232060;171153000
ethereum-classic;1.21;1.22;1.16;1.20;984448;106445000
dash;14.25;14.30;13.48;14.06;1510760;100228000
maidsafecoin;0.116781;0.119216;0.113703;0.117404;247960;52849500
augur;4.34;4.43;4.08;4.40;177271;47721700
steem;0.167852;0.169380;0.151260;0.165915;275645;38785000
iconomi;0.367824;0.384447;0.351103;0.374682;98808;32000700
nem;0.003528;0.003620;0.003456;0.003552;84317;31752200
factom;3.07;3.13;2.91;3.02;369298;26894400
waves;0.245127;0.256496;0.225539;0.251703;34180;24512700
dogecoin;0.000215;0.000216;0.000205;0.000208;98052;23216200
zcash;44.74;44.98;41.95;43.92;963419;20774000
digixdao;9.44;9.45;8.76;9.34;6160;18877300
stellar;0.002546;0.002588;0.002298;0.002481;133001;17624100
lisk;0.157643;0.169004;0.154036;0.161745;78993;16074800
tether;1.00;1.00;1.00;1.00;3458060;14951700
ardor;0.013094;0.013786;0.012280;0.013481;30714;13081200
golem-network-tokens;0.017472;0.018243;0.016391;0.017882;14269;11898500
gamecredits;0.175874;0.179738;0.166572;0.169578;92849;10561400
bitshares;0.003913;0.003961;0.003809;0.003945;53214;10092100
shadowcash;1.52;1.70;1.49;1.58;29960;10079400
xaurum;0.094951;0.095952;0.082545;0.091814;5240;8468920
e-dinar-coin;0.618422;0.671336;0.600984;0.630987;764440;8423920
bytecoin-bcn;0.000046;0.000054;0.000043;0.000049;1194;8344520
siacoin;0.000363;0.000373;0.000343;0.000363;75732;8149460
emercoin;0.191875;0.194023;0.178607;0.180852;13621;7550270
gulden;0.022269;0.022735;0.020147;0.021432;24272;7541830
peercoin;0.297784;0.305358;0.278036;0.282355;72288;7087390
singulardtv;0.010827;0.012707;0.009792;0.012085;9883;6496320
firstblood;0.068401;0.071461;0.068401;0.071204;4502;5852290
neo;0.116816;0.123035;0.115687;0.123035;7457;5840800
stratis;0.058965;0.060681;0.055384;0.059331;48399;5792340
nxt;0.005759;0.005773;0.005497;0.005748;41131;5753170
bitcrystals;0.131927;0.171017;0.128862;0.142353;46657;5467740
iocoin;0.333297;0.349825;0.323621;0.330293;13925;5434840
nexus;0.115694;0.139773;0.108099;0.139773;134088;5327900
rubycoin;0.222634;0.225048;0.206479;0.215101;2832;5323760
counterparty;1.97;2.07;1.92;1.99;18861;5155630
bitcoindark;3.94;4.21;3.82;4.16;11664;5074660
lomocoin;0.022834;0.023038;0.018247;0.018850;3462;4799890
syscoin;0.008764;0.008911;0.008275;0.008505;17776;4575960
synereo;0.051979;0.061985;0.049266;0.059593;106335;4275610
agoras-tokens;0.094426;0.095420;0.083703;0.091016;246;3965880
potcoin;0.017784;0.019206;0.017566;0.018157;67614;3832110
yocoin;0.056875;0.057150;0.030056;0.035727;36214;3635400
namecoin;0.235831;0.240697;0.224279;0.225265;20513;3475300
decred;0.885453;0.924930;0.794855;0.856784;29944;3189520
nav-coin;0.041057;0.041158;0.037756;0.039600;22983;2486090
trumpcoin;0.377482;0.402446;0.367933;0.386782;163228;2465300
sibcoin;0.173883;0.180844;0.170197;0.173837;13245;2299690
solarcoin;0.065722;0.070089;0.062536;0.067068;16687;2287710
global-currency-reserve;0.021918;0.023163;0.020907;0.021288;4363;2237310
byteball;22.32;32.90;21.90;24.83;13927;2231600
blackcoin;0.028841;0.028859;0.027001;0.027239;9689;2189180
gridcoin;0.005658;0.005828;0.005431;0.005629;730;2178990
digibyte;0.000264;0.000284;0.000251;0.000273;18367;2073780
clams;0.936654;0.939832;0.852018;0.892697;23287;1956920
supernet-unity;2.29;2.35;1.58;1.68;906;1870170
creditbit;0.144629;0.146246;0.105077;0.111532;105197;1808970
vslice;0.050798;0.053248;0.039600;0.044108;6336;1696160
aeon;0.122586;0.137474;0.114758;0.123793;5847;1639760
qwark;0.024088;0.024341;0.023114;0.023778;7;1501780
lykke;0.050022;0.050147;0.049786;0.050043;2949;1500670
omni;2.33;2.37;2.19;2.26;276;1294540
steem-dollars;1.02;1.02;0.972903;1.01;8166;1210010
radium;0.375606;0.390862;0.348481;0.389236;4782;1163340
expanse;0.229326;0.234630;0.213542;0.226448;22791;1156270
nexium;0.022280;0.037705;0.021862;0.031023;303963;1147880
monacoin;0.025748;0.026155;0.024110;0.024920;591;1143530
bitbay;0.001108;0.001295;0.001081;0.001295;4023;1115540
fedoracoin;0.000002;0.000002;0.000002;0.000002;822;1041750
faircoin;0.019530;0.020649;0.019198;0.019920;2;1033340
auroracoin;0.118683;0.122451;0.112188;0.120536;598;1027570
library-credit;0.024814;0.028563;0.023109;0.026435;140402;1017210
adzcoin;0.019513;0.019866;0.018204;0.018819;3294;1002870
vertcoin;0.030524;0.033484;0.029345;0.031524;9471;992988
feathercoin;0.006528;0.006538;0.005582;0.005969;9277;972566
burst;0.000573;0.000573;0.000505;0.000516;5723;963584
veros;0.038883;0.052405;0.029833;0.046238;15213;953196
primecoin;0.052557;0.052930;0.048614;0.050437;8849;926531
ion;0.090912;0.091869;0.036719;0.036943;2;926290
novacoin;0.564682;0.568489;0.530457;0.539811;11938;910226
