bitcoin;2763.24;2889.62;2720.61;2875.34;860575000;45535800000
ethereum;197.41;203.87;193.41;203.87;569414000;18492000000
ripple;0.165050;0.169535;0.162002;0.167386;57273800;6326860000
litecoin;40.34;44.03;38.95;43.02;240821000;2107540000
nem;0.160815;0.167028;0.159838;0.165068;2892660;1447330000
ethereum-classic;13.78;14.14;13.55;14.00;44660400;1295940000
dash;173.15;180.05;171.76;178.51;29249300;1291390000
iota;0.255064;0.259810;0.245768;0.254732;2563820;708959000
monero;39.67;40.68;38.94;39.84;13138500;589540000
stratis;4.84;5.13;4.66;5.00;8754770;476325000
eos;1.77;1.79;1.71;1.74;29657700;446574000
bitconnect;61.29;66.64;57.91;66.14;1578510;386447000
neo;7.16;7.43;7.02;7.33;10856600;358222000
qtum;5.53;6.36;5.43;6.12;13123400;326029000
bitshares;0.125402;0.126684;0.120475;0.124089;30474300;325712000
zcash;175.48;179.42;169.36;176.32;28589500;325483000
tether;1.00;1.01;0.995719;1.00;75184900;319512000
steem;1.20;1.23;1.18;1.20;644073;285869000
veritaseum;141.15;152.89;134.75;152.89;849255;283186000
waves;2.74;2.87;2.62;2.78;2651760;273812000
iconomi;3.05;3.23;2.97;3.12;2313560;265445000
siacoin;0.008020;0.008225;0.007653;0.008058;4179200;226138000
bytecoin-bcn;0.001231;0.001245;0.001178;0.001215;1175200;225593000
gnosis-gno;183.95;197.43;179.75;192.07;598546;203186000
lisk;1.79;1.94;1.75;1.93;1577570;197460000
golem-network-tokens;0.230708;0.236880;0.224958;0.231489;1911730;192187000
augur;17.26;17.42;16.33;16.83;1464280;189913000
dogecoin;0.001713;0.001728;0.001632;0.001718;3841680;189192000
status;0.050636;0.057316;0.049297;0.054071;17412400;175730000
stellar;0.015894;0.016462;0.015192;0.016095;4522640;171434000
byteball;466.35;500.45;438.88;463.29;467604;170640000
gamecredits;2.43;2.43;1.87;2.05;1114250;154396000
factom;16.94;17.22;15.65;15.73;2688140;148321000
decred;26.29;29.84;25.26;28.73;1306050;142923000
digibyte;0.016070;0.017080;0.015585;0.016601;4899760;140485000
maidsafecoin;0.305444;0.309186;0.281714;0.288338;2294370;138229000
digixdao;61.47;63.94;60.40;62.72;215921;122946000
omisego;1.20;1.26;1.17;1.23;2153100;118309000
mcap;2.20;2.26;1.98;2.20;453594;114326000
ardor;0.106446;0.108989;0.102029;0.108343;1096300;106339000
populous;2.80;3.39;2.70;3.27;964834;103787000
pivx;1.92;1.93;1.79;1.90;486765;103642000
basic-attention-token;0.100739;0.104584;0.097958;0.104220;1389760;100739000
nxt;0.099096;0.108256;0.096182;0.106096;4285090;98997100
tenx;0.891569;0.907447;0.849501;0.886032;927682;93312800
komodo;0.904723;0.950798;0.866617;0.901882;144439;91327800
metal;3.59;3.77;3.33;3.53;688906;75797800
mobilego;0.788630;0.884574;0.785446;0.856322;283540;75648400
bancor;1.80;1.91;1.43;1.87;1465680;73290800
singulardtv;0.102605;0.102828;0.095082;0.099893;270343;61563000
lykke;0.236953;0.246222;0.236131;0.245916;60715;59445000
bitcoindark;44.94;45.45;40.65;41.81;162850;57927200
firstblood;0.659829;0.755188;0.640484;0.697956;3349340;56453900
civic;0.163582;0.165448;0.157926;0.163067;633192;55617800
aragon;1.64;1.71;1.58;1.68;265313;55122400
syscoin;0.099758;0.105503;0.097133;0.102727;447718;52521000
bitdeal;0.174314;0.219779;0.089637;0.125852;46830;52294100
metaverse;2.29;2.31;2.20;2.27;248257;51641100
nexus;0.910533;0.910533;0.793015;0.853145;78791;46738000
ark;0.481775;0.524638;0.450827;0.498209;124974;46525900
decent;0.879701;0.977211;0.853017;0.879402;888008;45134000
leocoin;0.503884;0.516118;0.486791;0.504604;240625;44094900
funfair;0.011391;0.011855;0.010676;0.011556;442097;43734600
particl;5.40;5.52;4.76;5.13;152741;41304000
peercoin;1.67;1.70;1.61;1.65;174515;40546900
blocknet;10.22;11.17;9.54;10.10;290445;40488500
ubiq;1.06;1.15;0.985204;1.11;401416;39858500
verge;0.002933;0.003031;0.002802;0.003031;574812;39329400
etheroll;5.24;5.24;4.70;4.84;368030;36699600
reddcoin;0.001258;0.001258;0.001062;0.001116;360384;35948300
emercoin;0.863168;0.885266;0.829437;0.846300;165432;34917900
edgeless;0.411825;0.423445;0.381533;0.413068;459826;33788700
asch;0.446969;0.473341;0.430204;0.461368;559251;33522700
peerplays-ppy;8.69;9.29;4.39;6.66;21857;32159600
numeraire;26.01;26.47;24.69;25.28;166615;31810000
e-dinar-coin;0.035808;0.035808;0.022771;0.023307;346907;31733200
vslice;0.909510;0.909510;0.830667;0.900082;142012;30369000
rlc;0.364804;0.372356;0.354029;0.371521;120611;28845300
pillar;0.049901;0.058405;0.044214;0.050284;56073;27944500
xaurum;0.216270;0.228024;0.209579;0.222309;154542;27490300
wings;0.302245;0.308055;0.284903;0.293887;267512;27113900
storj;0.384566;0.385733;0.352098;0.373290;198861;26902400
humaniq;0.164993;0.166163;0.139074;0.153659;345004;26870500
melon;44.19;44.30;41.51;43.96;212263;26488600
gulden;0.074201;0.078135;0.072073;0.077128;43895;25968700
library-credit;0.374342;0.437658;0.350002;0.406238;1873390;25651600
namecoin;1.71;1.83;1.62;1.66;79162;25236700
monacoin;0.473392;0.477749;0.446209;0.451250;50825;25037000
counterparty;8.83;9.59;7.92;8.48;308210;23113000
digitalnote;0.003167;0.003244;0.002683;0.002770;1722670;21803700
viacoin;0.927771;1.01;0.843575;1.01;417572;21126900
bitbay;0.020927;0.024026;0.020358;0.021206;51065;21086500
ion;1.34;1.43;1.14;1.15;94499;20296700
sibcoin;1.30;1.34;1.23;1.25;53133;19707700
potcoin;0.087789;0.088852;0.084004;0.087240;138069;19092700
rialto;0.241791;0.242271;0.192630;0.234762;37698;18376500
soarcoin;0.027817;0.029582;0.027089;0.029582;15;18112400
cloakcoin;3.48;3.58;3.11;3.41;155880;17657100
omni;31.47;31.97;28.44;28.85;86254;17602800
blackcoin;0.230649;0.239050;0.221954;0.230442;363837;17594400
skycoin;3.01;3.87;2.98;3.71;80202;17524800
