bitcoin;2690.84;2999.91;2690.84;2863.20;2089610000;44061000000
ethereum;248.60;267.51;246.84;264.47;741553000;22930400000
ripple;0.294028;0.294537;0.276248;0.284548;132720000;11355900000
nem;0.236077;0.239606;0.223059;0.233988;12949100;2124690000
ethereum-classic;17.35;17.83;16.78;17.49;94322300;1601600000
litecoin;30.84;31.33;29.26;30.55;321099000;1586150000
dash;145.43;147.96;134.27;145.19;66883600;1068210000
stratis;10.48;11.10;9.87;10.62;24926500;1031430000
monero;48.37;55.57;47.12;55.57;34918400;705243000
waves;5.69;5.69;4.94;5.51;4467540;568531000
bytecoin-bcn;0.002806;0.003555;0.002710;0.002884;1921530;513505000
golem-network-tokens;0.520003;0.526878;0.484368;0.525862;9191710;431214000
dogecoin;0.003859;0.004036;0.003549;0.003741;44359200;423202000
digibyte;0.050921;0.055131;0.046995;0.054514;68497500;412816000
siacoin;0.015418;0.016630;0.013850;0.015663;45840900;410288000
steem;1.72;2.74;1.44;2.60;46267200;403229000
stellar;0.041515;0.046595;0.039044;0.045407;27300600;401239000
zcash;254.20;265.25;247.13;259.36;20436100;371267000
augur;28.66;33.80;28.15;33.41;6283340;315289000
basic-attention-token;0.291649;0.306674;0.254038;0.260062;10708800;291649000
gnosis-gno;260.20;270.67;249.59;267.44;3759020;287414000
gamecredits;4.53;4.75;4.13;4.52;4563350;285501000
bitshares;0.109312;0.119985;0.101073;0.115772;32658700;284463000
maidsafecoin;0.508276;0.549731;0.431356;0.513914;14781500;230022000
factom;24.55;34.79;20.66;32.54;72220400;214914000
bitconnect;32.24;39.78;32.24;37.99;2430580;207988000
lisk;1.78;2.23;1.67;2.09;20178400;191823000
decred;35.03;36.29;30.97;34.58;2657680;176868000
ardor;0.163385;0.163385;0.138903;0.153429;2825400;163222000
digixdao;80.97;90.17;80.34;88.82;1424400;161934000
byteball;802.93;868.96;740.66;747.55;470552;151981000
komodo;1.19;1.29;1.09;1.15;696464;120569000
iconomi;1.37;1.49;1.24;1.45;1573910;119173000
singulardtv;0.195070;0.208348;0.189575;0.195823;303982;117042000
tether;1.02;1.04;0.995467;1.00;152408000;106682000
syscoin;0.192236;0.231502;0.172783;0.231502;9529000;100972000
rlc;1.15;1.23;1.05;1.21;1148770;89688500
reddcoin;0.003047;0.003305;0.002628;0.003238;6051300;86935000
pivx;1.55;1.68;1.44;1.48;1150270;83020700
nxt;0.082431;0.084314;0.074344;0.083430;4980300;82348300
firstblood;0.916379;1.24;0.872755;1.15;10929100;78403900
aragon;2.24;2.59;2.19;2.44;1266720;75156300
verge;0.005394;0.006486;0.004405;0.006476;12489700;72326800
ark;0.701361;0.860576;0.534659;0.802881;2902360;66900600
neo;1.28;1.37;1.20;1.34;5234170;63757000
bitcoindark;48.96;53.23;46.06;50.73;305715;63096400
ubiq;1.69;2.14;1.49;2.01;1133170;62759000
wings;0.683270;0.914370;0.635113;0.868932;2527870;61295000
peercoin;2.19;2.19;1.94;2.05;3259320;52847100
digitalnote;0.007469;0.007479;0.005807;0.007326;5471570;51401800
supernet-unity;56.48;56.79;30.49;33.33;3008;46091900
gulden;0.132728;0.148359;0.117568;0.144439;778273;46024200
emercoin;1.11;1.13;0.974824;1.06;1040620;44466100
trust;0.463742;0.503838;0.366019;0.489436;1366540;42732700
lykke;0.305007;0.329605;0.305007;0.329339;720362;41898200
melon;66.63;81.37;66.63;80.94;585693;39939400
synereo;0.459484;0.492789;0.392224;0.463864;2249880;37795500
mooncoin;0.000157;0.000176;0.000113;0.000172;818623;34936500
counterparty;13.31;13.72;12.15;13.08;778171;34858000
nexus;0.681812;0.789461;0.605204;0.770354;190706;34055400
namecoin;2.19;2.19;1.95;2.10;1889030;32212900
mcap;7.29;7.88;6.97;7.62;92041;31692100
xaurum;0.258587;0.276641;0.241853;0.258965;165303;31495000
blocknet;7.60;8.46;6.04;6.91;407822;29726800
burst;0.016600;0.018141;0.014444;0.018004;2644420;29587200
omni;52.35;58.42;47.98;52.51;1558950;29264400
guppy;0.389372;0.441655;0.355040;0.401393;509771;29202900
swarm-city;4.28;5.08;4.03;4.54;309121;28534600
iocoin;1.69;1.72;1.38;1.72;354803;27691300
tokencard;1.15;1.28;1.14;1.22;345917;27225200
expanse;3.65;3.97;3.13;3.69;1172490;26523500
edgeless;0.327975;0.335652;0.302908;0.330066;479616;26051900
