bitcoin;1099.69;1114.07;957.65;973.82;621302000;17838700000
ethereum;46.87;46.87;31.70;34.16;262180000;4211830000
dash;101.04;120.52;95.06;109.24;74763700;724518000
monero;22.27;22.27;18.60;20.07;16830500;314731000
ripple;0.006137;0.007396;0.006118;0.006710;7223300;229142000
litecoin;4.04;4.16;3.86;3.97;12199700;202967000
ethereum-classic;1.91;1.91;1.65;1.70;9267590;171119000
nem;0.011541;0.012305;0.011261;0.011957;930344;103870000
augur;8.03;8.24;6.76;6.90;1466830;88360200
maidsafecoin;0.173268;0.174956;0.147758;0.151130;831253;78412900
tether;1.00;1.00;0.999937;1.00;49039900;44952200
zcash;48.27;91.09;47.68;64.18;27275200;42797100
factom;3.80;3.85;3.13;3.39;2201440;33220500
golem-network-tokens;0.039894;0.040391;0.028236;0.028766;1011570;32713300
steem;0.128833;0.351230;0.128833;0.176617;7214170;31114600
digixdao;15.31;15.42;12.92;12.93;140786;30619000
waves;0.267754;0.293936;0.261564;0.261998;230859;26775400
iconomi;0.302604;0.306913;0.261362;0.272965;261245;26326500
dogecoin;0.000223;0.000228;0.000207;0.000219;474001;24241700
melon;34.25;36.47;25.06;26.01;590195;20529900
decred;4.86;6.23;4.34;6.23;1052730;19672000
shadowcash;2.80;2.80;1.77;1.96;4143630;18589000
lisk;0.164480;0.195111;0.160043;0.174334;552518;17186500
ardor;0.016846;0.017802;0.014629;0.015096;130358;16828900
peercoin;0.670446;0.676469;0.493481;0.525387;659163;16060600
gamecredits;0.243056;0.255542;0.234858;0.241778;325818;14915500
stellar;0.001960;0.002096;0.001850;0.001877;691703;13693700
bitshares;0.005003;0.005087;0.004395;0.004515;633333;12955900
emercoin;0.300836;0.307186;0.261640;0.262442;128581;11946100
singulardtv;0.018102;0.020115;0.015467;0.016672;14260;10861400
namecoin;0.716053;0.744465;0.511411;0.524994;898977;10552000
komodo;0.099098;0.100659;0.079644;0.085611;22237;9981560
stratis;0.101376;0.119749;0.092855;0.094750;537637;9966270
firstblood;0.115399;0.115399;0.096341;0.098042;147284;9873350
bitconnect;1.73;1.77;1.54;1.60;233726;9815210
siacoin;0.000388;0.000405;0.000353;0.000375;203471;9397900
nxt;0.009060;0.009076;0.007890;0.008002;230806;9050520
nexus;0.178441;0.190338;0.162395;0.170489;59366;8519780
bytecoin-bcn;0.000046;0.000050;0.000039;0.000042;5451;8349220
zcoin;4.95;5.07;4.11;4.46;813986;8248960
iocoin;0.502390;0.502390;0.393093;0.408246;50788;8198440
counterparty;3.08;3.11;2.31;2.57;98953;8068040
bitcrystals;0.192779;0.207457;0.175373;0.178238;19459;7971760
xaurum;0.080599;0.083634;0.072313;0.072986;15869;7239700
neo;0.140006;0.172281;0.140006;0.158987;188985;7000300
gulden;0.018926;0.020147;0.017136;0.017738;16725;6475340
byteball;45.09;56.95;45.09;48.69;50182;6196890
syscoin;0.011822;0.012155;0.010134;0.010521;83234;6188550
pivx;0.109944;0.183896;0.109944;0.165387;383777;5763980
bitcoindark;4.21;4.66;3.94;3.98;16045;5422110
rubycoin;0.223599;0.227982;0.194045;0.198786;5586;5393640
novacoin;3.22;3.52;2.17;2.32;813110;5381300
synereo;0.053033;0.058251;0.046091;0.047924;73477;4362260
chronobank;5.63;5.83;4.89;5.52;175892;3996210
nexium;0.057118;0.063734;0.050969;0.052752;205001;3799570
agoras-tokens;0.089130;0.093852;0.078604;0.079931;98;3743460
blackcoin;0.048803;0.049159;0.040935;0.042057;92970;3710070
nav-coin;0.059619;0.059719;0.049087;0.049087;145879;3623610
potcoin;0.016000;0.016596;0.014247;0.014689;92155;3458500
e-dinar-coin;0.222373;0.257279;0.211351;0.211351;356410;3029080
boolberry;0.318145;0.341036;0.275216;0.291809;42756;2941120
creditbit;0.232747;0.235619;0.205721;0.205736;104076;2924590
solarcoin;0.080294;0.082798;0.074451;0.077436;4384;2805990
omni;4.34;4.72;3.89;3.99;7274;2423050
aeon;0.175774;0.176232;0.147967;0.165539;2395;2418690
gridcoin;0.006218;0.006380;0.005197;0.005371;5718;2412950
expanse;0.362013;0.386423;0.313590;0.331461;90732;2394970
burst;0.001306;0.001451;0.000941;0.000949;205774;2257960
veros;0.041795;0.046794;0.035415;0.042435;55181;2248910
cloakcoin;0.444861;0.502523;0.368472;0.377477;7923;2210460
supernet-unity;2.67;3.34;2.34;2.37;3210;2176480
sibcoin;0.156367;0.158051;0.136372;0.139456;4932;2162830
digibyte;0.000264;0.000284;0.000231;0.000242;22861;2139790
lomocoin;0.010391;0.010981;0.009192;0.009349;1741;2114070
bitbay;0.002089;0.002233;0.001832;0.001882;20635;2104830
ion;0.176005;0.180450;0.153665;0.165549;1911;2060840
monacoin;0.042525;0.043638;0.037965;0.039894;1640;2001100
ubiq;0.054736;0.054736;0.032733;0.038076;17106;1997360
vslice;0.052853;0.066001;0.043195;0.043924;498;1764780
clams;0.803392;1.04;0.782039;0.912164;79318;1746680
radium;0.531909;0.568597;0.492358;0.494904;13702;1684640
zclassic;1.97;2.46;1.88;2.14;97224;1632900
belacoin;0.047309;0.048398;0.040969;0.045230;69007;1537320
vertcoin;0.044153;0.045460;0.036380;0.037326;11717;1500680
feathercoin;0.009585;0.009956;0.007431;0.007687;10919;1489500
lykke;0.048686;0.048804;0.048628;0.048804;8981;1460590
library-credit;0.026722;0.027604;0.022737;0.023239;82414;1459170
pascal-coin;0.185773;0.344927;0.181172;0.230753;1238920;1371770
golos;0.010724;0.012296;0.009488;0.011000;1386;1283800
auroracoin;0.145452;0.155315;0.138755;0.139535;14368;1259340
pepe-cash;0.001759;0.001837;0.001301;0.001516;4412;1234660
curecoin;0.046113;0.047836;0.040499;0.041023;1755;1218830
faircoin;0.022467;0.022749;0.018387;0.018688;1612;1190360
heat-ledger;0.043543;0.044113;0.039681;0.040217;35;1134040
yocoin;0.016033;0.016657;0.013276;0.014420;24243;1121020
global-currency-reserve;0.010871;0.011474;0.009270;0.009741;943;1112370
incent;0.046775;0.048229;0.036477;0.038239;6562;1076230
steem-dollars;1.01;1.25;0.894405;0.917046;61328;1061970
primecoin;0.057127;0.058109;0.052857;0.053012;10792;1048520
viacoin;0.046642;0.047223;0.039415;0.042653;6398;1048260
waves-community-token;0.253846;0.271887;0.234481;0.243801;1267;1015380
adzcoin;0.018347;0.018874;0.015786;0.016698;4921;982006
earthcoin;0.000104;0.000106;0.000094;0.000099;13801;976089
obits;0.077719;0.086030;0.052328;0.054000;6447;941979
vericoin;0.031252;0.034260;0.027860;0.029476;8207;937905
bitpark-coin;0.012504;0.014959;0.010830;0.012036;304;937762
blockpay;0.171267;0.187458;0.163023;0.165425;2738;929689
triggers;0.028702;0.031350;0.024134;0.027306;1840;921492
shift;0.085631;0.087709;0.074835;0.076195;2936;907153
blocknet;0.209095;0.234480;0.188861;0.206255;1176;817669
jinn;13.79;13.96;12.62;12.79;269;809426
bitmark;0.205655;0.241013;0.191531;0.200957;42729;802297
mintcoin;0.000031;0.000033;0.000029;0.000031;285;757626
neoscoin;0.224732;0.235796;0.202688;0.208468;4573;728674
vtorrent;0.065981;0.079635;0.060748;0.067914;7275;713653
visio;0.014022;0.019064;0.013386;0.014023;776;702900
hicoin;0.003590;0.003672;0.002394;0.002581;16992;681043
florincoin;0.005469;0.005992;0.004411;0.004663;6382;679245
sequence;0.014934;0.015129;0.011246;0.011618;494;661299
digitalnote;0.000096;0.000110;0.000096;0.000098;7279;659889
dnotes;0.005937;0.007599;0.004869;0.004893;18769;658359
vcash;0.043085;0.052827;0.039458;0.050205;19985;653688
hempcoin-hmp;0.000472;0.000550;0.000271;0.000398;13089;640584
reddcoin;0.000022;0.000032;0.000020;0.000029;1099;634596
fedoracoin;0.000001;0.000001;0.000001;0.000001;729;611506
foldingcoin;0.001232;0.001232;0.001045;0.001092;11399;573744
darcrus;0.041469;0.042313;0.032990;0.034999;7839;565171
goldcoin;0.014074;0.014678;0.012597;0.012897;2481;564025
okcash;0.007702;0.008767;0.006863;0.007005;9677;543478
diamond;0.269556;0.273538;0.236937;0.243231;689;537607
monetaryunit;0.004580;0.004670;0.003576;0.003582;12233;527757
wild-beast-block;0.230634;0.246155;0.200402;0.215605;2275;512521
huntercoin;0.029926;0.032058;0.024733;0.025491;2802;494060
crown;0.040438;0.043509;0.033999;0.035621;2996;490416
worldcoin;0.004259;0.006229;0.004259;0.004940;3355;483383
breakout-stake;0.076439;0.098248;0.076439;0.086709;84;479129
swarm-city;0.187885;0.210652;0.164576;0.164662;3830;478510
megacoin;0.014532;0.015015;0.014244;0.014495;1975;477896
arcticcoin;0.020758;0.021030;0.013984;0.016593;736;470946
energycoin;0.003851;0.004227;0.003777;0.003983;621;464931
spreadcoin;0.060364;0.064422;0.050640;0.052787;9437;462376
centurion;0.011258;0.011504;0.007975;0.008494;3422;450263
gambit;0.350757;0.355930;0.299351;0.350292;964;449267
circuits-of-value;0.001078;0.001092;0.000939;0.000954;6594;431080
project-decorum;0.008545;0.009873;0.008103;0.009524;1808;427230
boostcoin;0.034804;0.034804;0.029002;0.033352;1056;412612
salus;0.410723;0.417102;0.371188;0.399314;4153;411927
breakout;0.022720;0.024897;0.021566;0.021930;84;402256
nushares;0.000143;0.000155;0.000124;0.000127;5017;386316
ico-openledger;0.771493;0.783831;0.505589;0.559854;11;367460
joincoin;0.146848;0.150812;0.127876;0.130034;168;359543
riecoin;0.011167;0.012356;0.010107;0.010521;7486;357265
myriad;0.000231;0.000249;0.000195;0.000205;6969;339086
spectrecoin;0.016664;0.018801;0.012913;0.014908;2196;336324
trumpcoin;0.051272;0.057763;0.042891;0.048128;8379;334999
quark;0.001319;0.001336;0.001053;0.001071;731;329953
rise;0.003024;0.003205;0.002283;0.002588;1670;324735
asiacoin;0.000440;0.000473;0.000327;0.000370;1299;324002
unobtanium;1.58;1.89;1.53;1.76;1479;311640
einsteinium;0.001495;0.001794;0.001318;0.001566;35857;311604
janus;0.023415;0.024037;0.018168;0.018423;1170;311405
zeitcoin;0.000008;0.000008;0.000005;0.000007;167;296682
luckchain;0.000286;0.000400;0.000211;0.000214;363;282824
bitcoin-plus;2.99;3.52;2.81;2.96;3949;281326
verge;0.000022;0.000025;0.000010;0.000025;697;280114
groestlcoin;0.004095;0.004834;0.003903;0.004389;6596;274268
zetacoin;0.001651;0.001710;0.001206;0.001362;984;273556
bitsend;0.018627;0.021563;0.015550;0.015737;3575;267599
prcoin;0.038707;0.054660;0.022205;0.029674;119436;266063
reecoin;0.020774;0.022079;0.014708;0.015177;89;256930
pinkcoin;0.000693;0.000702;0.000576;0.000633;8138;252762
putincoin;0.002847;0.003210;0.002390;0.002871;44322;252184
noblecoin;0.000110;0.000111;0.000077;0.000088;2863;251719
voxels;0.007829;0.009260;0.007537;0.007673;41983;246602
e-gulden;0.015840;0.016108;0.013074;0.013458;968;241031
colossuscoin-v2;0.000011;0.000011;0.000003;0.000003;2;240918
audiocoin;0.000299;0.000338;0.000247;0.000266;291;237464
jewels;0.011635;0.011787;0.009593;0.009755;84;234169
digitalcoin;0.006791;0.007800;0.006076;0.006264;1111;233529
fuelcoin;0.002145;0.002169;0.001835;0.001957;380;217369
magi;0.032131;0.032546;0.026265;0.026875;2615;215775
pandacoin-pnd;0.000007;0.000011;0.000003;0.000004;2;214319
cannabiscoin;0.002691;0.002812;0.002332;0.002620;2670;207835
veltor;0.363558;0.419104;0.335198;0.340856;597;199979
woodcoin;0.024435;0.024755;0.019153;0.019476;1752;196341
mineum;0.020591;0.020860;0.016149;0.018609;24;194306
tagcoin;0.036253;0.036253;0.031902;0.031902;1754;192372
postcoin;0.011739;0.011892;0.009419;0.009579;946;183507
casinocoin;0.004723;0.009734;0.003996;0.005422;746;182332
mazacoin;0.000165;0.000176;0.000145;0.000156;612;180319
europecoin;0.018475;0.018716;0.016764;0.017548;303;180089
synergy;0.067796;0.113020;0.061181;0.061181;1151;175122
startcoin;0.003809;0.004068;0.003343;0.003585;2927;171713
eccoin;0.000008;0.000010;0.000002;0.000008;285;171637
fantomcoin;0.030806;0.064429;0.021462;0.023372;1264;170281
bitcny;0.141057;0.145549;0.134110;0.136713;54820;165949
securecoin;0.021897;0.022187;0.020591;0.020591;1324;165423
orbitcoin;0.056137;0.057670;0.049901;0.051509;1816;162240
bitswift;0.037166;0.044241;0.036324;0.040861;58;150820
bitstar;0.007823;0.008125;0.006859;0.006964;720;147235
stealthcoin;0.005732;0.005916;0.004824;0.004840;703;147099
tao;0.004727;0.006064;0.004727;0.005443;26;142852
quatloo;0.027908;0.028922;0.023520;0.024676;2160;141272
mooncoin;6.3e-07;0.000003;5.2e-07;0.000003;50;139557
evergreencoin;0.010509;0.010509;0.008670;0.009118;8331;139389
shorty;0.001342;0.001359;0.001197;0.001266;2;134162
blitzcash;0.032936;0.034632;0.025544;0.029292;1693;133385
nubits;0.976771;0.988856;0.795674;0.824967;363;132453
i0coin;0.006216;0.007058;0.005398;0.005762;473;130343
coin2-1;0.001298;0.001365;0.001073;0.001130;3747;129796
swagbucks;0.715058;0.729815;0.601147;0.613324;379;126775
2give;0.000248;0.000260;0.000226;0.000234;23;125947
maxcoin;0.002300;0.002300;0.001868;0.002196;135;125213
artbyte;0.000165;0.000166;0.000136;0.000140;197;124281
elcoin-el;0.010934;0.011258;0.009299;0.009396;269;122559
canada-ecoin;0.001254;0.001277;0.001056;0.001120;3720;122187
pesetacoin;0.000935;0.000946;0.000824;0.000838;1624;120672
syndicate;0.010674;0.010880;0.008183;0.009215;401;120278
dashcoin;0.006919;0.007850;0.005979;0.006171;6422;118837
rubies;0.010919;0.011051;0.009257;0.009465;348;112694
rimbit;0.000942;0.001066;0.000766;0.000847;662;108759
goldblocks;0.007586;0.008352;0.005521;0.005614;661;108643
bitusd;1.01;1.04;0.962240;0.997464;70922;108616
ixcoin;0.005161;0.005536;0.004384;0.004540;870;108375
btctalkcoin;0.001641;0.001761;0.001571;0.001594;2;107162
kilocoin;0.000544;0.000551;0.000089;0.000091;1305;106743
ambercoin;0.002430;0.004387;0.002430;0.002504;118;106020
trustplus;0.003301;0.005591;0.003152;0.003934;1233;105908
teslacoin;0.001492;0.001650;0.001292;0.001411;1331;104706
whitecoin;0.000341;0.000440;0.000280;0.000282;595;104567
capricoin;0.111950;0.117971;0.106788;0.108590;2230;103903
dopecoin;0.000715;0.000748;0.000516;0.000516;408;100949
korecoin;0.055066;0.055659;0.047931;0.048740;44;100824
coin;0.000979;0.000992;0.000876;0.000895;173;99945
swing;0.048276;0.051475;0.040352;0.040554;323;99820
veriumreserve;0.102794;0.105285;0.082990;0.084893;2224;99559
geocoin;0.038873;0.038958;0.031464;0.031789;37;95437
kobocoin;0.003734;0.005007;0.003237;0.003466;251;92237
sphere;0.029692;0.030297;0.027006;0.027462;2580;91537
purevidz;0.000726;0.001641;0.000548;0.000957;6898;90758
russiacoin;0.010975;0.012381;0.008807;0.011364;2233;89666
flycoin;0.422283;0.486197;0.372221;0.426370;88;89020
mojocoin;0.007323;0.009876;0.006101;0.007276;22466;88049
cannacoin;0.017912;0.019988;0.011145;0.013416;3834;84087
nolimitcoin;0.000418;0.000434;0.000311;0.000351;33;83744
moin;0.012233;0.014249;0.007868;0.009236;488;83346
terracoin;0.004356;0.004411;0.003563;0.003618;5644;82992
kushcoin;0.015396;0.015597;0.010241;0.014335;334;82377
bean-cash;0.000044;0.000059;0.000040;0.000048;3768;80914
cryptogenic-bullion;0.080933;0.086205;0.067089;0.067729;1057;80276
espers;0.000004;0.000005;0.000003;0.000003;156;79543
btsr;0.023074;0.028427;0.022188;0.028401;2;77093
sacoin;0.011371;0.012891;0.010061;0.010254;3094;74742
posw-coin;0.002689;0.003110;0.002689;0.002926;631;72595
deutsche-emark;0.002600;0.002699;0.002221;0.002267;1583;72273
mtmgaming;0.024168;0.026117;0.014370;0.016120;93;71698
hempcoin;0.000330;0.000375;0.000287;0.000341;129;69916
bytecent;0.045087;0.058068;0.045087;0.057728;3231;68143
britcoin;0.003147;0.003186;0.002807;0.002807;40;66521
trollcoin;0.000121;0.000122;0.000075;0.000078;5;66327
bata;0.013193;0.014671;0.012342;0.013068;2152;64970
artex-coin;0.003386;0.004035;0.002890;0.002939;58;62784
smileycoin;0.000002;0.000002;0.000002;0.000002;148;62338
pakcoin;0.001809;0.001924;0.001649;0.001894;404;60072
globalcoin;0.000891;0.000918;0.000785;0.000798;1;58080
1337coin;0.000003;0.000003;0.000002;0.000002;26;57368
sexcoin;0.000466;0.000515;0.000429;0.000459;739;56412
truckcoin;0.000506;0.000524;0.000461;0.000477;805;55661
bitz;0.027547;0.031069;0.023989;0.024394;3;54844
karbowanec;0.018400;0.019182;0.016354;0.016845;8170;52841
transfercoin;0.008769;0.009165;0.007778;0.007986;176;51481
bluecoin;0.000088;0.000101;0.000075;0.000084;153;50583
zayedcoin;0.008776;0.008890;0.007361;0.008277;72;50485
bitbtc;1302.59;1329.84;1007.61;1027.40;12556;50158
piggycoin;0.000103;0.000117;0.000103;0.000107;3;49860
atomic-coin;0.005347;0.006173;0.004689;0.005459;1825;47758
stress;0.000083;0.000143;0.000066;0.000070;8;46992
dotcoin;0.000227;0.000231;0.000207;0.000219;3660;46910
bigup;0.000011;0.000011;0.000010;0.000010;2;46564
magnum;0.012921;0.015339;0.001293;0.001315;2272;44837
cryptojacks;0.000109;0.000122;0.000097;0.000098;11;44356
sativacoin;0.006070;0.006504;0.004957;0.004976;4049;42940
billarycoin;0.004388;0.004479;0.003879;0.003944;1;39393
digital-rupees;0.000077;0.000078;0.000048;0.000049;338;39313
parkbyte;0.008231;0.008339;0.006739;0.006853;17;39212
the-cypherfunks;8.9e-07;0.000001;5.8e-07;6e-07;6;38698
eryllium;0.012023;0.021338;0.009761;0.011853;5664;36766
anoncoin;0.017054;0.017268;0.014844;0.015086;3;35989
vault-coin;0.001216;0.003645;0.000645;0.001069;5971;35753
smartcoin;0.001563;0.001761;0.001360;0.001761;789;35253
ufo-coin;0.000011;0.000022;0.000010;0.000010;15;35170
abncoin;0.513766;0.546225;0.300140;0.311968;534;34782
berncash;0.000498;0.000521;0.000398;0.000462;342;34740
netcoin;0.000044;0.000055;0.000043;0.000049;540;34641
bitsilver;22.40;22.40;16.70;17.16;63;33682
aurumcoin;0.111630;0.122872;0.096264;0.104315;270;33003
sterlingcoin;0.008450;0.009673;0.007179;0.009016;207;32795
goldpieces;0.025975;0.029044;0.022975;0.023602;232;31694
sling;0.028999;0.029378;0.025409;0.025838;576;31148
