bitcoin;7853.57;8004.59;7561.09;7708.99;4651670000;131026000000
ethereum;330.17;334.96;327.52;332.39;621733000;31620300000
bitcoin-cash;909.16;1217.42;863.98;1185.48;3203430000;15279000000
ripple;0.224768;0.239409;0.220273;0.226581;397071000;8681190000
litecoin;70.45;71.12;65.78;67.57;350505000;3794080000
dash;420.59;436.02;412.45;424.98;95099300;3235510000
iota;0.830897;0.875845;0.731393;0.792462;102001000;2309500000
neo;28.71;41.08;28.36;40.50;252834000;1866360000
monero;120.02;126.70;119.25;126.70;47127700;1843600000
nem;0.196707;0.198684;0.189507;0.192635;8216410;1770370000
ethereum-classic;16.77;17.58;16.76;17.24;150957000;1635500000
lisk;8.37;9.58;8.02;8.28;47083900;961893000
qtum;12.83;13.37;12.55;13.37;109115000;945173000
eos;1.66;1.82;1.60;1.75;50782500;797405000
hshare;18.74;21.76;16.79;21.20;45202200;791947000
zcash;293.39;294.76;283.98;291.19;56387900;773268000
omisego;7.13;7.74;7.08;7.58;28740500;727192000
cardano;0.027143;0.027436;0.025184;0.025773;3578870;703728000
stellar;0.037144;0.037293;0.034894;0.035572;11612900;658006000
bitconnect;302.48;308.66;291.00;297.02;23569000;646736000
tether;0.995758;1.01;0.995758;1.00;639398000;611413000
waves;4.75;4.97;4.61;4.78;18777000;474592000
populous;9.24;9.49;9.07;9.29;1079540;381126000
stratis;3.30;3.57;3.22;3.36;7115310;325909000
ark;3.14;3.22;2.81;3.03;5244370;308108000
komodo;2.31;2.40;2.14;2.14;3190670;233458000
bytecoin-bcn;0.001254;0.001254;0.001173;0.001202;1168260;229829000
ardor;0.228500;0.239230;0.225212;0.227970;619487;228271000
steem;0.925367;0.943445;0.872433;0.894508;994977;227969000
bitshares;0.083911;0.096564;0.079235;0.092466;6980480;218345000
augur;19.79;20.00;19.10;19.26;1267730;217734000
veritaseum;99.31;105.36;93.66;104.47;664781;201205000
decred;32.56;34.85;31.98;32.04;774417;201045000
vertcoin;4.22;4.35;4.03;4.15;6275620;174207000
golem-network-tokens;0.208974;0.216508;0.203332;0.207861;2337360;174082000
salt;3.56;3.74;3.24;3.37;4069920;173996000
maidsafecoin;0.384431;0.397738;0.369854;0.382131;1980130;173975000
tenx;1.64;1.67;1.56;1.64;2184110;171594000
pivx;3.11;3.26;2.95;2.95;741596;170045000
gas;19.41;26.91;18.07;25.59;3941120;166861000
basic-attention-token;0.166421;0.180135;0.155159;0.160654;5317800;166421000
factom;18.78;19.21;17.35;18.38;6094750;164263000
monacoin;2.94;3.01;2.88;2.95;1761820;162705000
digixdao;78.39;79.56;76.52;77.06;184757;156782000
binance-coin;1.58;1.58;1.50;1.51;8508840;156447000
dogecoin;0.001381;0.001394;0.001274;0.001313;2787480;154631000
kyber-network;1.10;1.13;1.06;1.08;2472740;146901000
tron;0.002187;0.002189;0.001949;0.001984;5720510;143495000
byteball;218.85;265.67;212.04;234.75;834799;141208000
bitcoindark;106.70;110.72;102.50;106.34;60285;137524000
siacoin;0.004003;0.004175;0.003936;0.004014;1266640;123756000
gamecredits;1.90;1.94;1.80;1.86;2192430;122344000
walton;4.71;5.46;4.47;4.70;8662410;117187000
pura;0.652363;0.710902;0.615544;0.639019;491726;112068000
metaverse;3.07;3.14;3.02;3.06;3572980;111688000
bytom;0.112636;0.114200;0.106139;0.108486;491313;111172000
syscoin;0.207101;0.208888;0.193809;0.194835;1780180;109539000
raiden-network-token;2.14;2.26;1.80;2.01;3178580;107088000
blocknet;21.19;22.97;20.40;20.74;134142;103563000
status;0.028685;0.028685;0.027414;0.027737;2033730;99550000
iconomi;0.989402;1.06;0.946062;0.951394;585602;98730800
civic;0.281456;0.292527;0.262846;0.273207;2245460;96455000
lykke;0.366290;0.370397;0.355803;0.359402;367482;96098200
0x;0.190758;0.192559;0.182209;0.183124;1520350;95379000
ethos;1.31;1.44;1.30;1.36;1768860;95071800
aeternity;0.407065;0.459475;0.397686;0.426430;594614;94854400
gxshares;2.24;2.77;1.98;2.15;4315350;90842000
verge;0.006360;0.006633;0.005983;0.006100;2212420;90788700
digibyte;0.009464;0.009786;0.009105;0.009163;2325530;89110900
power-ledger;0.244630;0.291286;0.229908;0.257452;18239400;85364000
metal;4.38;4.55;4.01;4.23;3164310;84631200
open-trading-network;48.53;50.57;11.92;36.67;14911200;82943000
bancor;2.00;2.01;1.93;1.97;1564790;81728700
zcoin;23.14;23.27;20.96;22.04;2037320;79773100
singulardtv;0.128024;0.134793;0.122989;0.125364;1240820;76814600
vechain;0.267459;0.278233;0.250585;0.257303;1477450;74129600
gnosis-gno;66.46;68.29;62.82;63.60;561764;73409700
particl;9.44;9.81;8.74;8.92;149509;73401500
b3coin;0.000679;0.000760;0.000390;0.000462;724027;73227500
nxt;0.069938;0.070775;0.067872;0.069890;3260860;69868300
storj;0.658104;0.705836;0.604788;0.618168;9846660;68392700
funfair;0.016765;0.017299;0.015751;0.015950;805854;67057900
bitbay;0.064086;0.070062;0.044954;0.048995;7862970;64588800
chainlink;0.169455;0.171535;0.152477;0.159649;2547360;59309100
kucoin-shares;0.640038;0.670643;0.602721;0.611706;705094;58271000
faircoin;1.06;1.09;1.02;1.03;32425;56475800
cryptonex;1.25;1.37;1.18;1.30;100245;56138100
edgeless;0.676248;0.710760;0.652246;0.656145;723728;55483600
monaco;5.53;5.82;5.25;5.25;3325690;54228600
neblio;4.23;4.23;3.26;3.37;463203;53156000
ripio-credit-network;0.107752;0.110729;0.091342;0.099677;5954040;52275200
adx-net;0.892038;1.10;0.892038;1.07;3693340;51073300
nexus;0.926207;1.22;0.912753;1.06;431046;49832600
nav-coin;0.786128;0.870383;0.783557;0.816347;1031240;48771900
bitcore;40.38;44.26;31.39;34.61;9848620;48272900
ubiq;1.24;1.34;1.17;1.33;364878;48074900
bitdeal;0.270142;0.273734;0.200250;0.207807;92988;47432500
streamr-datacoin;0.068047;0.071354;0.066321;0.070740;611732;46078300
mobilego;0.466662;0.469492;0.440874;0.445170;254677;45746400
rlc;0.576726;0.590125;0.506443;0.518544;349792;45602200
aragon;1.40;1.57;1.37;1.47;833458;45565300
zeusshield;0.039315;0.043179;0.039091;0.041234;498577;45351000
pillar;0.194750;0.194791;0.169221;0.189652;339417;44283300
kin;0.000057;0.000063;0.000055;0.000060;58875;43140600
wings;0.474205;0.487512;0.458416;0.466049;476975;42540100
iocoin;2.54;2.63;2.37;2.55;53137;41591900
dentacoin;0.000126;0.000141;0.000076;0.000128;32654;40774700
counterparty;15.56;16.52;14.79;15.09;335664;40720400
melon;67.32;67.60;64.18;65.26;429369;40349300
nolimitcoin;0.195828;0.203892;0.184546;0.184946;54714;40015700
peercoin;1.60;1.83;1.60;1.69;1693130;39077800
centra;0.561130;0.583408;0.536258;0.544583;1306170;38156800
loopring;0.132352;0.154047;0.120602;0.154047;986438;37875300
taas;4.55;4.80;4.27;4.44;353765;37099400
achain;0.123161;0.127264;0.113203;0.115205;303229;36948400
cloakcoin;6.66;6.92;6.11;6.30;316113;34147300
airswap;0.225694;0.231000;0.200308;0.200928;1791930;33854100
reddcoin;0.001177;0.001284;0.001006;0.001081;1319400;33752300
quantum-resistant-ledger;0.647853;0.713427;0.609548;0.662030;297215;33688400
sonm;0.093652;0.095978;0.082750;0.083104;966869;33677200
atbcoin;0.853911;0.919819;0.742116;0.792082;2234050;33311100
request-network;0.051642;0.051642;0.044991;0.045858;1170020;32844300
substratum;0.143896;0.148914;0.132387;0.132980;587284;32533500
viacoin;1.42;1.49;1.35;1.39;343356;32451100
grid;0.826298;0.897703;0.820995;0.846803;35710;32421000
supernet-unity;39.72;41.28;39.72;40.74;10347;32414200
gulden;0.090574;0.091751;0.080569;0.082062;165801;32276400
tokencard;1.35;1.36;1.21;1.23;229181;32002200
leocoin;0.341564;0.347095;0.251706;0.294360;921747;31876500
aeon;2.11;3.08;2.05;2.08;2807520;30958100
emercoin;0.732969;0.748081;0.711486;0.726010;451556;30016700
groestlcoin;0.435632;0.491257;0.410225;0.442503;2676600;29978000
cofound-it;0.090780;0.091294;0.084983;0.085901;260553;29503400
okcash;0.399155;0.477062;0.363196;0.462237;6311260;29226400
enigma-project;0.387501;0.404890;0.345322;0.396755;1025230;28999100
rise;0.252422;0.271358;0.240560;0.246831;633638;28558800
potcoin;0.129735;0.132032;0.118844;0.123434;398303;28366900
icos;48.46;51.53;45.38;51.23;13482;28301800
firstblood;0.328885;0.342262;0.313931;0.320729;434465;28138900
decent;0.534943;0.534943;0.476325;0.496360;288940;27445800
skycoin;4.55;4.79;3.95;4.35;23661;26981300
amber;0.186263;0.191371;0.166708;0.171251;243621;26931900
decentraland;0.011729;0.012085;0.011187;0.012028;268762;26669600
einsteinium;0.123027;0.123454;0.110921;0.114910;2947460;26572300
revain;0.142094;0.166906;0.128795;0.154506;467642;26209200
everex;1.58;1.61;1.49;1.52;778004;26028600
rchain;0.141578;0.165781;0.132144;0.138531;47733;25761900
xplay;0.025419;0.025758;0.025108;0.025600;69;25418800
trust;0.265519;0.272820;0.241918;0.243964;207763;24466900
moeda-loyalty-points;1.24;1.26;1.15;1.24;1267030;24323300
elastic;0.277074;0.278735;0.247210;0.267756;289450;24234600
paypie;0.285963;0.331479;0.273041;0.331128;129661;23592000
diamond;9.28;9.69;8.48;8.86;48332;23351600
district0x;0.038839;0.039456;0.034923;0.035060;1951320;23303600
red-pulse;0.042480;0.047323;0.042480;0.044682;1086990;23081700
paragon;0.362191;0.384138;0.333068;0.338365;195463;22836800
feathercoin;0.124179;0.144424;0.116911;0.126992;385461;22594200
tierion;0.053446;0.053814;0.049366;0.050007;326041;22581700
mcap;0.587460;0.609324;0.443288;0.483606;897679;22497100
stox;0.506415;0.521935;0.489880;0.494940;649288;22371600
minexcoin;7.45;8.46;7.45;8.27;44884;22337600
viberate;0.139008;0.141458;0.124377;0.132047;1172300;22331800
crown;1.39;1.43;1.33;1.35;53832;22218200
