bitcoin;6132.02;6470.43;6103.33;6468.40;2311380000;102130000000
ethereum;307.38;310.55;305.88;305.88;369583000;29331500000
ripple;0.202405;0.203778;0.200461;0.200558;43875700;7798990000
bitcoin-cash;449.37;454.07;431.76;439.05;343799000;7527260000
litecoin;56.37;56.79;55.72;55.75;99381100;3021830000
dash;285.39;286.21;278.73;279.15;50260500;2184110000
neo;28.69;30.44;28.47;28.47;61688400;1864890000
nem;0.199406;0.201302;0.183521;0.186771;6031700;1794650000
bitconnect;227.38;239.52;226.79;239.52;18364400;1667460000
monero;88.75;89.33;87.60;87.64;28704900;1356840000
iota;0.407912;0.408340;0.390312;0.390915;7839910;1133800000
ethereum-classic;10.87;10.94;10.62;10.62;27241200;1053730000
qtum;10.38;10.88;10.35;10.45;43306600;764029000
cardano;0.028547;0.030714;0.028075;0.030437;7304450;740140000
omisego;7.23;7.29;6.84;6.84;21797300;710488000
zcash;239.86;239.93;231.72;233.01;38363600;602974000
lisk;4.91;4.95;4.72;4.74;7576110;561021000
stellar;0.031606;0.031815;0.028622;0.029182;16918000;524277000
tether;0.998327;1.00;0.996871;1.00;184182000;451305000
stratis;3.79;3.79;3.31;3.36;13957800;373355000
waves;3.47;3.50;3.17;3.24;9895450;347320000
hshare;9.86;11.03;9.67;10.76;22692000;332876000
eos;0.712702;0.781782;0.672324;0.781782;16200000;312268000
bytecoin-bcn;0.001368;0.001417;0.001349;0.001410;1148530;250673000
ark;2.44;2.62;2.39;2.45;2396030;238722000
steem;0.961082;0.996804;0.942736;0.943716;820424;235556000
komodo;2.29;2.55;2.20;2.22;5059160;230681000
vertcoin;5.43;5.70;5.11;5.21;26259900;221629000
ardor;0.196539;0.203539;0.195000;0.199587;719199;196343000
augur;17.13;17.80;17.08;17.59;949978;188467000
walton;7.55;7.56;5.74;5.74;12762800;187896000
tenx;1.77;1.84;1.75;1.78;1749920;185261000
decred;30.16;30.22;27.06;28.40;827355;182804000
tron;0.002760;0.003246;0.002696;0.002814;1805800;180574000
pivx;3.24;3.41;2.86;2.97;1143060;176950000
monacoin;3.09;3.20;2.98;2.98;1178160;169908000
maidsafecoin;0.359329;0.390580;0.358048;0.390580;1542910;162615000
gas;18.86;19.55;16.38;17.63;870552;162099000
metal;8.30;8.58;6.71;6.71;6412190;160227000
golem-network-tokens;0.191259;0.198555;0.182528;0.198555;1690360;159325000
bitshares;0.056716;0.079228;0.056026;0.073222;7501160;147529000
basic-attention-token;0.146643;0.167168;0.145623;0.154904;3375320;146643000
populous;3.49;3.91;3.42;3.80;368400;144053000
factom;15.34;15.55;14.19;14.58;3827220;134134000
binance-coin;1.34;1.41;1.27;1.31;3397150;132278000
kyber-network;0.985966;1.01;0.947389;0.952349;1840830;132250000
bitcoindark;102.59;112.69;101.53;102.99;204122;132227000
status;0.037788;0.041939;0.037685;0.040273;4344070;131143000
syscoin;0.243766;0.247354;0.206576;0.211956;2919120;128839000
byteball;220.60;226.62;204.47;218.18;1042310;128810000
dogecoin;0.001143;0.001196;0.001106;0.001124;3075460;127721000
salt;2.68;2.90;2.59;2.65;4393950;125514000
gamecredits;1.92;1.94;1.81;1.82;1142070;123515000
digixdao;61.22;64.10;61.11;63.69;135088;122442000
civic;0.349565;0.389160;0.340477;0.351524;4477810;119796000
siacoin;0.003761;0.003812;0.003547;0.003613;1292710;114690000
iconomi;1.03;1.09;0.991795;1.01;764694;102335000
veritaseum;48.14;52.44;45.63;50.81;589662;97524000
lykke;0.362178;0.368089;0.360378;0.362565;88041;97469400
0x;0.188070;0.189369;0.173305;0.173305;1317130;94035000
metaverse;4.05;4.59;3.97;4.19;11161600;91451300
monaco;8.91;11.95;6.46;6.80;29207500;87493900
blocknet;17.98;21.33;17.82;19.15;332315;87450700
bytom;0.087889;0.091833;0.085644;0.086957;292197;86746400
digibyte;0.009281;0.009376;0.008885;0.009030;2536530;86624300
singulardtv;0.139251;0.141637;0.131326;0.132961;1253490;83550700
gnosis-gno;74.77;75.19;69.11;69.46;332664;82589600
bancor;1.99;2.07;1.94;2.00;990337;80948200
verge;0.005599;0.007590;0.005349;0.007157;13949100;79367800
funfair;0.019679;0.019856;0.017891;0.018378;1123700;78717400
smartcash;0.097798;0.104358;0.085755;0.093505;98889;77662500
gxshares;1.84;1.88;1.69;1.79;2347980;74653100
pura;0.434554;0.476227;0.380074;0.409673;236283;74589300
chainlink;0.211457;0.221311;0.184711;0.193912;2251570;74010000
mcap;1.80;1.88;1.61;1.79;1192350;68786600
nav-coin;1.02;1.05;0.863308;0.867878;6747460;63084500
taas;7.69;7.69;5.30;5.73;401184;62676000
ethos;0.853983;0.870093;0.779363;0.783119;550279;61263100
iocoin;3.68;3.77;2.91;3.07;371430;60213900
vechain;0.216269;0.220768;0.205989;0.214774;456158;59941700
nexus;1.10;1.14;0.940859;1.01;554911;59003800
aeternity;0.251181;0.256687;0.235146;0.239505;537603;58530200
nxt;0.058377;0.059364;0.057720;0.058260;1846800;58318400
rlc;0.709394;0.742994;0.667233;0.708004;549678;56092400
particl;7.21;7.50;6.76;6.84;138544;55921300
neblio;4.47;5.10;4.13;4.83;447235;55867700
adx-net;0.936587;0.969767;0.860653;0.871318;3240020;52781500
zcoin;15.51;17.66;14.96;17.66;2344390;51608600
edgeless;0.625800;0.665524;0.515407;0.540769;1666620;51344600
bitqy;0.040888;0.047809;0.021388;0.021417;55898;50857600
ubiq;1.27;1.45;1.21;1.23;574951;48971800
dentacoin;0.000159;0.000160;0.000112;0.000125;112180;48330600
aragon;1.48;1.49;1.38;1.39;370278;48225300
faircoin;0.896251;0.944738;0.874521;0.910857;45331;47675000
