bitcoin;4171.62;4214.63;4039.29;4163.07;1367050000;69219200000
ethereum;299.12;299.92;279.77;291.47;541375000;28375900000
ripple;0.196105;0.196203;0.187172;0.193606;72291200;7519420000
bitcoin-cash;447.66;447.92;426.99;436.77;148725000;7441960000
litecoin;54.11;54.16;50.42;52.62;186560000;2875460000
dash;337.93;338.89;318.70;327.70;38011000;2563340000
nem;0.238155;0.239069;0.220942;0.237538;5254500;2143400000
iota;0.595143;0.609587;0.543016;0.584418;16689800;1654220000
neo;30.25;30.41;26.13;28.64;72558300;1512530000
monero;97.30;97.78;91.22;94.50;38972400;1473750000
ethereum-classic;12.77;13.25;12.04;12.52;123657000;1225220000
omisego;10.47;10.58;9.19;9.75;51306900;1029050000
bitconnect;131.15;132.31;123.58;130.11;10871800;895647000
zcash;311.49;311.49;272.38;290.12;71232100;711727000
lisk;5.99;6.01;5.44;5.70;8932120;676183000
qtum;9.96;10.00;9.15;9.77;79526300;587845000
waves;4.77;5.04;4.39;4.93;8515820;476743000
stratis;4.78;4.88;4.39;4.47;7038430;471559000
tether;0.998357;1.02;0.994503;0.999863;205406000;426360000
steem;1.44;1.64;1.26;1.64;9012310;349458000
eos;0.816964;0.835309;0.704876;0.717272;15499400;305136000
ark;2.96;2.97;2.63;2.76;2004570;290145000
tenx;2.75;2.75;2.35;2.50;4474950;288115000
bytecoin-bcn;0.001429;0.001432;0.001282;0.001397;2220420;261923000
basic-attention-token;0.249416;0.249416;0.221576;0.236986;3098820;249416000
augur;22.20;22.46;20.14;20.64;1184250;244249000
kyber-network;1.74;1.83;1.57;1.75;5894070;239539000
stellar;0.013816;0.013877;0.012906;0.013204;1967140;229178000
bitshares;0.087383;0.089086;0.078784;0.082354;6429120;227185000
golem-network-tokens;0.272699;0.275617;0.252666;0.261972;1354900;227167000
hshare;6.69;7.85;6.50;6.50;11415400;224822000
maidsafecoin;0.493715;0.499521;0.441714;0.487756;2144370;223432000
komodo;2.11;2.15;1.92;2.06;1684480;212613000
decred;34.65;34.88;32.87;34.14;636638;202656000
gas;22.88;23.26;21.23;22.10;896609;194224000
metal;9.12;9.28;8.22;8.51;1737870;175929000
ardor;0.172482;0.173434;0.154581;0.166410;2097970;172310000
pivx;3.17;3.22;2.94;3.07;475544;172125000
factom;19.17;19.23;17.71;18.33;1962570;167637000
digixdao;78.12;78.93;75.00;78.71;245868;156233000
walton;6.22;6.48;4.41;5.53;23391200;154983000
gamecredits;2.38;2.52;2.12;2.32;2372370;152972000
iconomi;1.53;1.53;1.43;1.44;578593;152449000
siacoin;0.005106;0.005175;0.004695;0.004949;1529170;151600000
veritaseum;75.19;76.35;70.97;74.67;264286;151214000
civic;0.419334;0.422191;0.376162;0.396276;1794850;142657000
byteball;241.32;245.61;230.01;237.73;179789;140905000
gnosis-gno;126.73;133.26;123.81;130.63;679454;139982000
binance-coin;1.37;1.37;1.14;1.27;8474270;136698000
digibyte;0.015113;0.015232;0.013930;0.014781;2565040;132123000
dogecoin;0.001105;0.001129;0.001001;0.001082;5674620;123000000
